Course_Name,Company_Offering,Skills_Gained,Ratings,Number_of_Ratings,Course_Link
Data Science Fundamentals with Python and SQL,IBM,"Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Analysis Software, Data Visualization, Data Science, R Programming, Data Management, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,62000,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
Key Technologies for Business,IBM,"Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Adaptability, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",4.7,85000,https://www.coursera.org/specializations/key-technologies-for-business
IBM Data Engineering,IBM,"Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Data Analysis, Data Analysis Software, Leadership and Management, Process Analysis, Kubernetes, Software Architecture, PostgreSQL, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,49000,https://www.coursera.org/professional-certificates/ibm-data-engineer
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,"Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Adaptability, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,32000,https://www.coursera.org/specializations/digital-strategy
Data Engineering Foundations,IBM,"Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Data Analysis Software, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,47000,https://www.coursera.org/specializations/data-engineering-foundations
Applied Data Science,IBM,"Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",4.6,50000,https://www.coursera.org/specializations/applied-data-science
IBM AI Foundations for Business,IBM,"Machine Learning, Machine Learning Algorithms, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Adaptability, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",4.7,80000,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
IBM Back-End Development,IBM,"Software Engineering, Application Development, Software Architecture, Computer Programming, Python Programming, Software Engineering Tools, Cloud Applications, DevOps, Security Engineering, Cloud Computing, Programming Principles, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, Full-Stack Web Development, IBM Cloud, Kubernetes, Software Security, Cloud Platforms, Software Testing, Docker (Software), Linux, Software-Defined Networking, Web Development, Collaboration, Leadership and Management, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL",4.6,39000,https://www.coursera.org/professional-certificates/ibm-backend-development
IBM Data Analytics with Excel and R,IBM,"Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Business Analysis, Python Programming, Big Data, Data Science, NoSQL",4.7,22000,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
Data Analysis and Visualization Foundations,IBM,"Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,21000,https://www.coursera.org/specializations/data-analysis-visualization-foundations
Applied Software Engineering Fundamentals,IBM,"Software Engineering, Computer Programming, Python Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Agile Software Development, Communication, Full-Stack Web Development, Software Testing, Software-Defined Networking, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",4.6,38000,https://www.coursera.org/specializations/software-engineering-fundamentals
Deep Learning,DeepLearning.AI,"Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Exploratory Data Analysis, Organizational Development, Strategy, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,143000,https://www.coursera.org/specializations/deep-learning
AI Foundations for Everyone,IBM,"Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Adaptability, Customer Analysis, Computer Programming, Data Science",4.7,14000,https://www.coursera.org/specializations/ai-foundations-for-everyone
Prompt Engineering,Vanderbilt University,"Creativity, Data Analysis, Problem Solving, Writing",4.8,7000,https://www.coursera.org/specializations/prompt-engineering
IBM Business Intelligence (BI) Analyst,SkillUp EdTech,"Data Management, Data Visualization, Databases, SQL, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Python Programming, Data Analysis, Data Architecture, Database Theory, Spreadsheet Software, Computer Programming, Data Model, Data Warehousing, General Statistics, Plot (Graphics), Statistical Visualization, Basic Descriptive Statistics, Probability & Statistics, Statistical Analysis, Statistical Tests, Data Analysis Software, NoSQL, PostgreSQL, Professional Development, Probability Distribution, Business Analysis, Data Visualization Software, Data Mining, Data Science, Interactive Data Visualization, R Programming, Tableau Software, Business Intelligence, Forecasting",4.7,10000,https://www.coursera.org/professional-certificates/bi-analyst
Cloud Application Development Foundations,IBM,"Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Continuous Delivery, Web Development Tools, NoSQL, Computer Science, Front-End Web Development, React (web framework)",4.6,4000,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
Generative AI with Large Language Models,DeepLearning.AI,"Machine Learning, Natural Language Processing, Python Programming",4.8,2000,https://www.coursera.org/learn/generative-ai-with-llms
Google Advanced Data Analytics,Google,"Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",4.7,1000,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
Microsoft Power BI Data Analyst,Microsoft,"Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",4.6,4000,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
"DevOps, Cloud, and Agile Foundations",IBM,"DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management",4.7,9000,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
IBM and ISC2 Cybersecurity Specialist,Multiple educators,"Computer Security Incident Management, Risk Management, Cloud Computing, System Security, Computer Networking, Cloud Storage, Operating Systems, Leadership and Management, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Software Engineering",4.7,9000,https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist
IBM IT Support,IBM,"Cloud Computing, Computer Networking, Cloud Storage, Customer Success, Operating Systems, Leadership and Management, System Security, Strategy and Operations, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Communication, Computer Programming, Cyberattacks, Customer Support, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,6000,https://www.coursera.org/professional-certificates/ibm-technical-support
Foundations of Project Management,Google,"Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",4.9,79000,https://www.coursera.org/learn/project-management-foundations
IBM Data Warehouse Engineer,IBM,"SQL (Programming Language), Relational Databases, Data Engineering, Database Software, Data Management, Data Warehousing, Apache Spark, Apache Kafka, Data Administration, Bash (Scripting Language), Apache Airflow, Data Modeling, Data Visualization, Extraction, Transformation, and Loading (ETL), Data Pipelines, Data Visualization Software, Database Architecture and Administration, Database Theory, Databases, Linux, Apache, Big Data, Business Intelligence, Data Wrangling, Database Design, Disaster Recovery, Extensible Languages and XML, Management, MySQL, Network Security, PySpark, Python (Programming Language), Scripting, Security Engineering, Training and Development",4.7,2000,https://www.coursera.org/professional-certificates/data-warehouse-engineering
Generative AI Fundamentals,IBM,,4.7,547,https://www.coursera.org/specializations/generative-ai-for-everyone
Meta Front-End Developer,Meta,"Javascript (Programming Language), React.js, Hypertext Markup Language (HTML), CSS Frameworks, HTML Formatting, Web Design, CSS Codes, Cascading Style Sheets (CSS), HTML5, React Native, User Interface (UI), Data Structures, Front End (Software Engineering), Git (Version Control System), UI Components, User Experience (UX), User Interface (UI) Design, Application Programming Interface (API), Bash (Scripting Language), Jest (JavaScript Testing Framework), Mobile Development, Object Oriented Programming (OOP), Programming Concepts, UI/UX Strategy, Unit Testing, User Centered Design, User Experience (UX) Design, Web Development, Algorithms, Application Frameworks, Bootstrap (Front-End Framework), C (Programming Language), Computer Networks, Computer Science, Design, Digital Design, GitHub, Interaction Design, JavaScript Frameworks, Programming Tools, Prototyping, Software Development Tools, UI/UX Research, Unix, Usability, Usability Testing, User Interface and User Experience (UI/UX) Design, Version Control, Web Application Development, Webpack",4.7,17000,https://www.coursera.org/professional-certificates/meta-front-end-developer
Generative AI for Data Analysts,IBM,,4.7,493,https://www.coursera.org/specializations/generative-ai-for-data-analysts
IBM Generative AI for Cybersecurity Professionals,IBM,,4.7,493,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals
"BI Foundations with SQL, ETL and Data Warehousing",IBM,"SQL (Programming Language), Apache Kafka, Bash (Scripting Language), Apache Airflow, Data Warehousing, Data Management, Data Pipelines, Databases, Linux, Relational Databases, Data Visualization, Data Visualization Software, Python (Programming Language)",4.6,20000,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
Generative AI for Data Scientists,IBM,,4.7,496,https://www.coursera.org/specializations/generative-ai-for-data-scientists
Generative AI for Software Developers,IBM,,4.7,496,https://www.coursera.org/specializations/generative-ai-for-software-developers
Generative AI for Data Engineers,IBM,,4.7,489,https://www.coursera.org/specializations/generative-ai-for-data-engineers
Information Technology (IT) and Cloud Fundamentals,IBM,"Cloud Computing, Computer Hardware, Computer Networks, Operating Systems, Cybersecurity, Computer Engineering, Network Administration, Cloud Storage, Cyber Security Strategy, Encryption, Network Protocols, Virtual Private Networks (VPN), Authentications, Cloud Engineering, Computing Platforms, Cyber Security, Hardware Troubleshooting, Information Privacy, Information Systems Security, Sass, Software Development, Software as a Service (SaaS), TCP/IP, Theory of Computation, Cloud Applications, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Services, Cloud Solutions, Cloud Technologies, Computer Programming, Computer Science, Cross Platform Applications, Cyber Engineering, Data Storage, Data Structures, Database Software, Databases, DevOps, Javascript (Programming Language), Mac OS, Microsoft Windows 10, Network Troubleshooting, Networking Hardware, Query Languages, Relational Databases, SQL (Programming Language), Simulation and Simulation Software, Systems Administration, Technical Support, Web Application Development, Web Applications, Web Content",4.7,7000,https://www.coursera.org/specializations/it-cloud-fundamentals
Google IT Automation with Python,Google,"Python (Programming Language), Configuration Management, Debugging, Git (Version Control System), Cyber Engineering, Scripting Languages, C (Programming Language), Google Cloud, IT Automation, Network Troubleshooting, Unit Testing",4.7,44000,https://www.coursera.org/professional-certificates/google-it-automation
"Foundations: Data, Data, Everywhere",Google,"Data Analysis, Data Visualization, Analytics, Business Intelligence Software, Data Cleansing",4.8,99000,https://www.coursera.org/learn/foundations-data
AI For Everyone,DeepLearning.AI,"Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Methods",4.8,40000,https://www.coursera.org/learn/ai-for-everyone
IBM AI Engineering,IBM,"PyTorch (Machine Learning Library), Deep Learning, TensorFlow, Artificial Neural Networks, Computer Vision, Machine Learning, Apache Spark, Regression Analysis, Decision Tree Learning, Image Analysis, Keras (Neural Network Library), PySpark, Cost Estimation, Estimation, Machine Learning Algorithms, NumPy, Scikit Learn (Machine Learning Library)",4.6,18000,https://www.coursera.org/professional-certificates/ai-engineer
IBM Full-Stack JavaScript Developer,IBM,"Software Engineering, Microservices, Software Development, Cloud Native Computing, Javascript (Programming Language), Node.JS, React.js, Containerization, DevOps, Git (Version Control System), GitHub, HTML5, Kubernetes, Recruitment, Agile Methodology, Applicant Tracking Systems, Docker (Software), Hypertext Markup Language (HTML), IBM Cloud Computing, Javascript and jQuery, MongoDB, Programming Concepts, React Redux, Software Architecture, Software Development Life Cycle, UI Components",4.5,3000,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,"Machine Learning Methods, Machine Learning, Machine Learning Algorithms",4.9,18000,https://www.coursera.org/learn/machine-learning
AI in Healthcare,Stanford University,"Machine Learning, Data Mining, Artificial Intelligence and Machine Learning (AI/ML), Deep Learning, Health Care, Machine Learning Methods, Regression Analysis",4.7,4000,https://www.coursera.org/specializations/ai-healthcare
Foundations of Cybersecurity,Google,"Cybersecurity, Enterprise Security, Security Management",4.9,18000,https://www.coursera.org/learn/foundations-of-cybersecurity
Business Foundations,University of Pennsylvania,"Financial Accounting, Financial Analysis, Financial Modeling, Marketing Strategy and Techniques, Process Improvement and Optimization, Human Resources Management and Planning, Marketing, Mathematics and Mathematical Modeling, Operations Management, Change Management, Customer Relationship Management, Customer Relationship Management (CRM), Decision Making, Finance, Human Resource Management, Industrial and Organizational Psychology, Performance Management",4.7,24000,https://www.coursera.org/specializations/wharton-business-foundations
Generative AI for Everyone,DeepLearning.AI,Generative AI,4.8,1000,https://www.coursera.org/learn/generative-ai-for-everyone
IBM Back-end JavaScript Developer,IBM,"Software Engineering, Microservices, Software Development, Cloud Native Computing, Javascript (Programming Language), Node.JS, Containerization, DevOps, Git (Version Control System), GitHub, HTML5, Kubernetes, Recruitment, Agile Methodology, Applicant Tracking Systems, Docker (Software), IBM Cloud Computing, Javascript and jQuery, MongoDB, Programming Concepts, Software Architecture, Software Development Life Cycle",4.6,8000,https://www.coursera.org/professional-certificates/backend-javascript-developer
IBM IT Project Manager,IBM,"Project Management, Software Engineering, Agile Methodology, Initiative and Leadership, Cybersecurity, Risk Management, Agile Software Development, Cloud Computing, Leadership Development, Programming Concepts, Software Development, Business Communications, Change Management, Cloud Engineering, Network Security, Operating Systems, Scrum (Software Development), Software Architecture, Software Development Life Cycle",4.8,3000,https://www.coursera.org/professional-certificates/ibm-it-project-manager
IBM Applied DevOps Engineering,IBM,"DevOps, Software Engineering, Test Driven Development (TDD), Continuous Integration, Agile Methodology, Application Security, Continuous Delivery, Kubernetes, Security Engineering, Microservices, Software Testing, Agile Software Development, Computer Programming, Continuous Monitoring, Application Development, CI/CD, Cloud Computing, Cloud Native Computing, Containerization, Cybersecurity, Data Visualization, Data Visualization Software, Docker (Software), IBM Cloud Computing, Network Security, Programming Concepts, Python (Programming Language), Restful API, Scrum (Software Development), Security Software, Security Testing, Teamwork, Version Control",4.7,8000,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering
IBM Front-End Developer,IBM,"Cloud Native Computing, Software Engineering, HTML5, React.js, Software Development, Javascript (Programming Language), Javascript and jQuery, DevOps, Git (Version Control System), GitHub, Hypertext Markup Language (HTML), Recruitment, Web Development, Agile Methodology, Applicant Tracking Systems, Application Programming Interface (API), Cloud API, Cloud Engineering, Continuous Delivery, Figma (Design Software), Front End (Software Engineering), MongoDB, NoSQL, Programming Concepts, React Redux, Restful API, SQL (Programming Language), Search Engine Optimization, Software Architecture, Software Development Life Cycle, UI Components, UI/UX Strategy, Web Design, Web Development Tools, Webpack",4.6,2000,https://www.coursera.org/professional-certificates/ibm-frontend-developer
Mathematics for Machine Learning and Data Science,DeepLearning.AI,"Mathematics and Mathematical Modeling, Linear Algebra, Probability and Statistics, Artificial Neural Networks, Calculus, Machine Learning, Statistical Hypothesis Testing, NumPy, Regression Analysis, Statistics",4.6,7000,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
Meta Social Media Marketing,Meta,"Social Media, Digital Marketing, Marketing, Advertisement, Communications, Media Strategy, Marketing Analytics, Marketing Management, Sales, Research and Development, Advertising, Applied Marketing, Entrepreneurship, Advertising Sales, Brand Management, Budget Management, Business Analysis, Content Marketing, Customer Analysis, Data Analysis, Graphic and Visual Design, Industrial and Organizational Psychology, Information Privacy, Key Performance Indicators (KPIs), Management, Market Research, Marketing Effectiveness, Marketing and Public Relations, Operations Management, Strategic Planning, Strategic Thinking",4.8,18000,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
IBM IT Scrum Master,IBM,"DevOps, Software Engineering, Agile Methodology, Cybersecurity, Continuous Delivery, Programming Concepts, Agile Software Development, Cloud Computing, Continuous Integration, Software Development, Cloud Engineering, Computer Programming, Network Security, Operating Systems, Scrum (Software Development), Software Architecture, Software Development Life Cycle, Teamwork, Version Control",4.8,7000,https://www.coursera.org/professional-certificates/ibm-it-scrum-master
Intuit Academy Bookkeeping,Intuit,"Accounting, Financial Accounting, General Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Bookkeeping, Finance, Financial Management, Financial Reporting, Accounts Payable, Accounts Receivable, Bank Reconciliations, Cost Accounting, Financial Statements, Fixed Asset, General Ledger, Loans, Stock Management",4.6,5000,https://www.coursera.org/professional-certificates/intuit-bookkeeping
AI For Business,University of Pennsylvania,"Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Artificial Neural Networks, Customer Analysis, Financial Analysis, Marketing Analytics",4.7,602,https://www.coursera.org/specializations/ai-for-business-wharton
Machine Learning Engineering for Production (MLOps),DeepLearning.AI,"MLOps (Machine Learning Operations), Machine Learning, TensorFlow, Python (Programming Language), Statistical Programming, Exploratory Data Analysis, Feature Engineering, Kubernetes, Probability and Statistics, Anomaly Detection, Computer Vision, Data Loss Prevention, Data Management, Data Warehousing, Extraction, Transformation, and Loading (ETL), PySpark",4.7,5000,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
Foundations of Digital Marketing and E-commerce,Google,"Digital Marketing, Marketing, Marketing Analytics, Marketing Strategy and Techniques, Email Marketing, Strategic Thinking, Marketing Technology",4.8,18000,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce
Technical Support Fundamentals,Google,"Technical Assistance, IT Management, Information Technology",4.8,149000,https://www.coursera.org/learn/technical-support-fundamentals
